No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,time 2,time1,delay 1,delay 2,jitter
654,5.987603,198.251.205.77,192.168.1.36,TLSv1.2,878,Application Data,,,,,,,,6.000612,5.987603,0.013009,0.025788,0.012779
657,6.000612,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5633 Ack=905 Win=512 Len=0,,,,,,,,6.0264,6.000612,0.025788,0.025083,0.000705
661,6.0264,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,6.051483,6.0264,0.025083,0.931395,0.906312
664,6.051483,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5633 Ack=943 Win=512 Len=0,,,,,,,,6.982878,6.051483,0.931395,0.261225,0.67017
751,6.982878,192.168.1.36,3.235.82.184,TLSv1.2,271,Application Data,,,,,,,,7.244103,6.982878,0.261225,0.041697,0.219528
778,7.244103,3.235.82.184,192.168.1.36,TLSv1.2,249,Application Data,,,,,,,,7.2858,7.244103,0.041697,0.074838,0.033141
780,7.2858,192.168.1.36,3.235.82.184,TCP,54,50927  >  443 [ACK] Seq=218 Ack=196 Win=516 Len=0,,,,,,,,7.360638,7.2858,0.074838,0.010951,0.063887
786,7.360638,198.251.205.77,192.168.1.36,TLSv1.2,133,Application Data,,,,,,,,7.371589,7.360638,0.010951,0.025673,0.014722
787,7.371589,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,7.397262,7.371589,0.025673,0.588919,0.563246
788,7.397262,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5712 Ack=981 Win=512 Len=0,,,,,,,,7.986181,7.397262,0.588919,0.010368,0.578551
854,7.986181,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,7.996549,7.986181,0.010368,0.026077,0.015709
855,7.996549,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,8.022626,7.996549,0.026077,0.131829,0.105752
857,8.022626,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5781 Ack=1019 Win=512 Len=0,,,,,,,,8.154455,8.022626,0.131829,0.000356,0.131473
871,8.154455,198.251.205.77,192.168.1.36,TLSv1.2,114,Application Data,,,,,,,,8.154811,8.154455,0.000356,0.025291,0.024935
872,8.154811,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,8.180102,8.154811,0.025291,0.05838,0.033089
873,8.180102,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5841 Ack=1057 Win=512 Len=0,,,,,,,,8.238482,8.180102,0.05838,0.000416,0.057964
880,8.238482,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,8.238898,8.238482,0.000416,0.024977,0.024561
